"['quando', 'ignorancia', 'grita', 'inteligencia', 'cala', 'conclusao', 'perca', 'tempo', 'discutindo', 'esquerdistas', 'ptistas', 'nunca', 'admitem', 'precisar', 'chamam', 'advogado', 'jose', 'eduardo', 'cardozo', 'pra', 'ficar', 'repetindo', 'infinitamente', 'vem', 'ser', 'multado', 'stf']","Quando a ignorância *GRITA*, a inteligência cala. Conclusão: não perca tempo discutindo com esquerdistas ! 😉😜

PTistas nunca admitem uma cag4d4, e se precisar chamam o Advogado José Eduardo Cardozo pra ficar repetindo infinitamente que não houve mesmo,vem ser multado pelo STF. https://t.co/lgZxMzBB1B"
"['tomar', 'banho', 'de', 'manha']","Tomar um banho
De manhã"
"['estranho', 'saida', 'abel', 'hein', 'ha', 'pouco', 'tempo', 'atras', 'tava', 'sendo', 'campeao', 'carioca', 'festa', 'caralho']","Estranho essa saída do Abel, hein… Há pouco tempo atrás tava sendo campeão do carioca, uma festa do caralho."
"['so', 'queria', 'alguem', 'mto', 'gay', 'cmg']",so queria alguem que fosse mto gay cmg
"['puta', 'pariu']",Puta que me pariu
"['caralho', 'hoje', 'sessao', 'terapia', 'socao', 'cara', 'q', 'q']",Caralho hoje a sessão de terapia foi um socão na minha cara q q isso
"['cocota', 'feia', 'pa', 'caralho']",COCOTA FEIA PA CARALHO
"['tomar', 'cafe', 'ver', 'video', 'party', 'nova', 'heitor', 'silva', 'pretao', 'anda']","tomar café e ver video party nova do heitor da silva, pretão anda muito"
"['vir', 'pra', 'academia', 'fone', 'ai', 'chego', 'aqui', 'ta', 'tocando', 'pericles', 'puta', 'merda']","Vir pra academia sem fone, aí chego aqui tá tocando Péricles puta merda"
"['eu', 'to', 'cansada', 'demais', 'psicologico', 'abalado', 'to', 'chorando', 'pra', 'caralho', 'vou', 'ver', 'gine', 'dia', 'vei']","Eu tô cansada demais, meu psicológico abalado, tô chorando pra caralho e só vou ver o gine dia 13 véi"
"['eu', 'ando', 'mt', 'irritada', 'vontade', 'mandar', 'pessoas', 'especificas', 'tomar', 'cu', 'que', 'deus', 'ajude', 'n', 'fazer']",Eu ando mt irritada com vontade de mandar pessoas específicas tomar no cu. Que Deus me ajude a n fazer isso.
"['meu', 'pau', 'ta', 'durassoooo', 'caralho', 'aeeeeeeee', 'porra']",MEU PAU TA DURASSOOOO CARALHO AEEEEEEEE PORRA #Xbox #XboxGamePass https://t.co/ntfKrGGHs4
['foda'],que se foda ele https://t.co/1psQDxrzFX
"['vei', 'descubri', 'pq', 'sarinhah', 'nao', 'come', 'na', 'creche', 'sinceramente', 'vontade', 'bater', 'estar', 'obrigando', 'comer']",Vei descubri pq a sarinhah NÃO COME NA CRECHE sinceramente que vontade de me bater por estar obrigando ela comer aquilo
"['vou', 'enfiar', 'esse', 'chiclete', 'no', 'meu', 'cu']",VOU ENFIAR ESSE CHICLETE NO MEU CU
"['que', 'foda', 'braga', 'abel']","“ Que se foda eles” -Braga, Abel https://t.co/Ep0zkJOUto"
"['prepara', 'cu', 'city', 'quarta', 'vem', 'guerra']","Prepara o cu do city, quarta que vem é guerra https://t.co/ovjRjZSmgg"
"['gente', 'puxa', 'saco', 'pior', 'ne', 'puta', 'merda']",Gente puxa saco é a pior que tem né ?! Puta merda. 🙄
"['album', 'nina', 'ta', 'foda', 'demais', 'cada', 'verso', 'beat', 'referencias', 'salvou', 'dia']","esse album da nina ta foda demais! cada verso, beat, referências, salvou meu dia 🙌🏿"
"['minha', 'preta', 'viu']",Minha preta tem viu 🥵 https://t.co/qGyc1j3wq6
"['caralho', 'sandra', 'apareceu', 'falando', 'mendigo', 'vai', 'pagar', 'mano', 'bagulho', 'acabar', 'nunca']","Caralho a Sandra apareceu falando que o mendigo vai pagar elas , mano bagulho acabar nunca"
"['vim', 'pro', 'banheiro', 'e', 'a', 'pprra', 'do', 'ensino', 'medio', 'ainda', 'ta', 'aqui', 'fora', 'ai', 'o', 'fdp', 'que', 'me', 'perssegue', 'ficou', 'me', 'encarando']",VIM PRO BANHEIRO E A PPRRA DO ENSINO MEDIO AINDA TÁ AQUI FORA   AI O FDP QUE ME PERSSEGUE FICOU ME ENCARANDO
"['descobri', 'hj', 'q', 'abacate', 'fode', 'estomago', 'kkkkkkkoq', 'nao', 'deixa', 'essa', 'porra', 'fodida', 'tbm', 'ne', 'caralho']",descobri hj q abacate fode meu estômago kkkkkkkOQ NAO DEIXA ESSA PORRA FODIDA TBM NÉ CARALHO????
"['cala', 'boca', 'porque', 'vou', 'show', 'coldplay']",cala a boca porque eu vou no show do coldplay
"['entao', 'agora', 'pode', 'meter', 'cacete', 'governo']",então é agora que se pode meter o cacete no governo?
"['o', 'pessoal', 'escritorio', 'anda', 'arrastando', 'pe', 'caralho', 'irritateeee']","O pessoal no escritório anda arrastando o pé, que caralho irritateeee"
"['sem', 'duvidas', 'series', 'gay', 'lindas', 'puras', 'netflix', 'amei', 'demais', 'preciso', 'segunda', 'temporada']",Sem dúvidas é uma das séries gay mais lindas e puras da Netflix. Amei demais e preciso da segunda temporada!  #Heartstopper
"['entendo', 'coisas', 'pq', 'pessoal', 'enchia', 'saco', 'falando', 'mulher', 'podia', 'escrever', 'romance', 'gay', 'agora', 'gosta', 'heartstopper']",eu não entendo essas coisas pq o pessoal enchia o saco falando que mulher não podia escrever romance gay mas agora gosta de heartstopper https://t.co/O9DXUCZxks
"['dei', 'selinho', 'naquele', 'viado', 'incubado', 'frente', 'd', 'todo', 'mundo', 'to', 'morrendo']",dei um selinho naquele viado incubado na frente d todo mundo tô morrendo
"['preta', 'ferreira', 'no', 'dialogos', 'contemporaneos', 'em', 'brasilia', 'de', 'abril', 'maio', 'espaco', 'cultural', 'shopping', 'liberty', 'mall', 'recebe', 'projeto', 'literario', 'dialogos', 'contemporaneos', 'grandes', 'escritores', 'escritoras']","PRETA FERREIRA NO DIÁLOGOS CONTEMPORÂNEOS EM BRASÍLIA - De 18 de abril a 16 de maio o Espaço Cultural do Shopping Liberty Mall recebe o projeto literário Diálogos Contemporâneos, com grandes escritores e escritoras. #diálogoscontemporâneos #literatura #cultura #brasília https://t.co/U2rOSAGRzq"
"['provocou', 'conflito', 'entendimento', 'sobre', 'titularidade', 'agremiacao', 'pertence', 'samba', 'as', 'duas', 'linhas', 'anteriores', 'explicando', 'homenageado', 'passou', 'escolas', 'antes', 'chegar', 'imperatriz', 'eterna', 'amada', 'imperatriz', 'fim', 'samba', 'enfiou', 'cu', 'ne']","“Provocou conflito de entendimento sobre a titularidade da agremiação a qual pertence o samba”

As duas linhas anteriores explicando que o homenageado passou por essas escolas antes de chegar na Imperatriz e o ""eterna seja, amada Imperatriz"" no fim do samba ele enfiou no cu, né? https://t.co/C0AD0c1eMA"
"['o', 'fluminense', 'foda', 'foda']",O Fluminense é foda e que se foda eles!
"['caralho', 'deus', 'acaba', 'semana', 'logo', 'n', 'aguento', 'maaaaisss']",caralho meu Deus acaba essa semana logo eu n aguento maaaaisss
"['vcs', 'tao', 'fazendo', 'tomar', 'pessimas', 'decisoes', 'lh']",vcs tão fazendo eu tomar péssimas decisões /lh https://t.co/ERIVXl3bQD
"['e', 'merda', 'ser', 'proletariado', 'poder', 'reclamar', 'redes', 'sociais', 'pq', 'simplesmente', 'alcance', 'que', 'odio']",É uma merda ser proletariado e não poder reclamar nas redes sociais pq simplesmente não tem alcance. Que ódio
"['hoje', 'ta', 'foda', 'pra', 'caralho', 'vontade', 'absolutamente', 'nada']","hoje tá foda pra caralho, sem vontade de absolutamente nada"
"['cada', 'dia', 'passa', 'fico', 'gay']",Cada dia que passa eu fico mais gay
"['ai', 'nao', 'entendo', 'matematica', 'entao', 'fazer', 'graca', 'pra', 'cima', 'desse', 'cara', 'namora', 'presta', 'atencao', 'professor', 'caralho']","""ai eu nao entendo matemática"" então para de fazer graça pra cima desse cara que namora e presta atenção no professor, que caralho"
"['nossa', 'catar', 'pedrinha', 'agora', 'frente', 'janela', 'quarto', 'foda', 'ne']",Nossa ou catar pedrinha agora na frente da janela do meu quarto é foda né
"['sabe', 'porra', 'transtorno', 'cala', 'boca', 'vagabunda', 'porra', 'perfil', 'vc', 'sensualizando', 'pra', 'otaku', 'incel', 'mete', 'validacao', 'masculina']",não sabe o que é a porra de um transtorno cala a boca vagabunda a porra do teu perfil só tem vc sensualizando pra otaku e incel e tu mete essa de validação masculina? https://t.co/YSjqeD9LUx
"['gosto', 'abel', 'pra', 'crlh', 'tecnico', 'vitorioso', 'clube', 'dava', 'fazia', 'merda']","Gosto do Abel pra crlh, técnico mais vitorioso no clube, mais não dava mais só fazia merda https://t.co/1mqzieC10T"
"['obrigado', 'abel', 'braga', 'me', 'desculpa', 'ofensas', 'sei', 'culpado', 'o', 'culpado', 'vagabundo', 'mario', 'bittencourt']","Obrigado, Abel Braga. Me desculpa pelas ofensas, sei que não é o culpado. O culpado é o vagabundo do Mário Bittencourt! #ForaMario https://t.co/UN3cAbDB7M"
"['cala', 'boca', 'vc', 'calvo']",cala a boca vc e calvo
"['hoje', 'vou', 'ora', 'praia', 'beber', 'foda', 'por', 'favor', 'frio', 'de', 'madrugada', 'acordo', 'faco', 'casos']","Hoje eu vou ora praia beber e foda se.

Por favor não esteja frio. 

De madrugada eu acordo e faço os casos."
"['muito', 'foda', 'qualidade', 'camera']",Muito foda essa qualidade da câmera de 1898 https://t.co/UcwdzlRlnu
"['vou', 'tomar', 'gelinho', 'hj', 'sozinha']",Vou tomar um gelinho hj sozinha.
"['caralho', 'doideira', 'esperava', 'entregasse', 'agora']","caralho que doideira, esperava que ele entregasse mas não agora"
"['tive', 'sonho', 'tao', 'estranho', 'triste', 'acordei', 'convite', 'perfil', 'plano', 'base', 'p', 'merda', 'acontecer']",Tive um sonho tão estranho e triste ._. e acordei com um convite com perfil de plano base p essa merda acontecer 😭
"['estudar', 'tarde', 'merda', 'vivo', 'pra', 'escola', 'vai', 'tomar', 'cu']",estudar de tarde é uma merda eu só vivo pra escola vai tomar no cu
"['do', 'jeito', 'q', 'to', 'tarde', 'vai', 'ter', 'flamengo', 'certo', 'vou', 'cacar', 'medico', 'ta', 'foda']","Do jeito q tô, mais tarde não vai ter Flamengo certo, vou caçar um médico, tá foda 🤧"
"['cada', 'dia', 'to', 'ficando', 'biluteteia', 'jeito', 'based', 'louco', 'turma', 'monica', 'sim', 'jeito', 'esquizofrenico', 'marilyn', 'manson']","Cada dia eu tô ficando mais e mais biluteteia, mas não num jeito based louco da turma da Monica e sim de um jeito esquizofrênico Marilyn Manson."
['foda'],que se foda eles https://t.co/zLbZlqSRTh
"['acabei', 'de', 'ver', 'um', 'homem', 'enfiando', 'o', 'braco', 'inteiro', 'no', 'cu', 'do', 'outro', 'e', 'tirando', 'os', 'orgaos', 'internos', 'n', 'do', 'cars', 'pra', 'chupar', 'e', 'eu', 'to', 'traumatizada', 'quero', 'dar', 'um', 'tiro', 'na', 'minh', 'caveca']","ACABEI DE VER UM HOMEM ENFIANDO O BRAÇO INTEIRO NO CU DO OUTRO E TIRANDO OS ÓRGÃOS INTERNOS N
DO CARS PRA CHUPAR E EU TO TRAUMATIZADA QUERO DAR UM TIRO NA MINH CAVECA"
"['aqui', 'matando', 'estudar', 'cheia', 'prova', 'trabalho', 'p', 'fzr', 'fdp', 'irma', 'cancun', 'enfim', 'preferidos']","eu aqui me matando de estudar, cheia de prova e trabalho p fzr e a fdp da minha irmã em Cancún! enfim os preferidos🤡🥵"
"['juro', 'lino', 'hyun', 'cabelo', 'preto', 'vou', 'passar', 'mal']",eu juro que se o lino e o hyun tiverem com o cabelo preto eu vou passar mal
"['merda', 'vai', 'passar', 'aguento']",quando é que essa merda vai passar não aguento mais
"['caralho', 'spotify', 'ta', 'pesado', 'ultimamente', 'meu', 'celular', 'tava', 'travando', 'pra', 'caralho', 'fechar', 'spotify', 'voltou', 'normal']","Caralho, o Spotify tá muito pesado ultimamente. Meu celular tava travando pra caralho, foi eu fechar o Spotify que ele voltou ao normal."
"['tomar', 'cafe', 'tira', 'fome', 'laxante', 'ainda', 'deixa', 'acordado', 'droga', 'maldita']","Tomar café me tira a fome, é laxante e ainda me deixa acordado o droga maldita"
"['vontade', 'de', 'socar', 'o', 'cu', 'do', 'andre']",VONTADE DE SOCAR O CU DO ANDRE
"['nao', 'sorteado', 'tivw', 'compra', 'kkkk', 'foda', 'nao', 'ia', 'perde', 'ultimo', 'show', 'kiss', 'ta', 'maluqui', 'tava', 'querendo', 'so', 'ir', 'pra', 'perto', 'pedreira', 'ja', 'agora', 'vontar', 'dentro', 'caralhooo', 'ansioso', 'pra', 'uma', 'porra', 'e', 'ainda', 'primeiro', 'show', 'assim', 'mais', 'ansioso', 'ainda', 'aaahh']","Nao fui sorteado, tivw que compra! Kkkk se foda! Nao ia perde o ultimo show do kiss! Ta maluqui!!! Tava querendo so ir pra perto da pedreira ja e agora vontar dentro!! CARALHOOO ANSIOSO PRA UMA PORRA!!! E ainda primeiro show assim da @MariaZazulaa !!! Mais ansioso ainda!!! Aaahh"
"['fui', 'assistir', 'animais', 'fantasticos', 'esperanca', 'bom', 'desenvolvimento', 'personagem', 'maria', 'candido', 'recebi', 'uma', 'fucking', 'fala', 'dela', 'ezra', 'miller', 'dumbledore', 'gay', 'timido', 'unica', 'coisa', 'salvou', 'newt', 'jacob', 'sempre']","Fui Assistir animais fantásticos na esperança de um bom desenvolvimento da personagem da Maria Cândido, mas RECEBI UMA FUCKING FALA DELA, Ezra Miller 🤮 e  Dumbledore gay tímido !
a Única coisa que salvou foi o Newt e o Jacob como sempre"
"['prova', 'caralho']",prova do caralho
"['ja', 'idiota', 'pedindo', 'fernando', 'diniz', 'pode', 'ser', 'sacanagem']","Já tem idiota pedindo Fernando Diniz, só pode ser sacanagem"
"['literalmente', 'shippando', 'agatha', 'x', 'gal', 'porq', 'voces', 'estao', 'demorando', 'pra', 'tomar', 'atitude', 'adoro', 'ideia', 'gal', 'respira', 'perto', 'agatha', 'ja', 'sai', 'falando', 'beijou', 'deixou', 'ar', 'sendo', 'ainda', 'bv']","literalmente shippando agatha x gal porq voces estao demorando muito pra tomar uma atitude

e eu adoro a ideia de que o gal respira perto da agatha e ela ja sai falando que beijou ele, deixou ele sem ar sendo que ela ainda é bv"
"['os', 'caras', 'marcando', 'ciro', 'debochando', 'kkkk', 'mano', 'pais', 'merece', 'podridao', 'eterna', 'existe', 'culto', 'ignorancia', 'pqp', 'povinho', 'otario']","Os caras marcando o Ciro e debochando kkkk mano, esse país merece a podridão eterna. Existe um culto a ignorância, pqp que povinho otário. https://t.co/thDx0j5yP1"
"['cara', 'joga', 'apenas', 'dias', 'mete', 'thumb', 'foder']","Cara joga apenas por 8 dias e mete 100 na thumb, se foder https://t.co/m3Pit1gAsT"
"['o', 'dia', 'vai', 'ser', 'merda']",O dia vai ser uma merda mesmo
"['maior', 'merda', 'existe', 'historia', 'thelmo', 'scuby', 'dg', 'campeoes', 'povo', 'gente', 'onde', 'povo', 'hora', 'votar', 'vsf', 'kkkkkkkkkk']",maior merda que existe é essa história de que o thelmo scuby e dg são campeões do povo?? minha gente é onde estava esse povo na hora de votar? vsf kkkkkkkkkk
"['finalmente', 'acabou', 'periodo', 'vai', 'tomar', 'cu']","Finalmente acabou o período, vai tomar no cu"
"['aqui', 'gente', 'lamenta', 'pq', 'dia', 'ta', 'bosta']",é aqui que a gente se lamenta?? pq meu dia ta uma bosta
"['kakakakakakak', 'eu', 'nunca', 'mais', 'duvido', 'da', 'porra', 'da', 'minha', 'intuicao', 'que', 'caraljo', 'que', 'buceta', 'que', 'cu']",KAKAKAKAKAKAK EU NUNCA MAIS DUVIDO DA PORRA DA MINHA INTUIÇÃO QUE CARALJO QUE BUCETA QUE CU
"['cara', 'queria', 'mamar', 'policial', 'sigilo', 'aqui', 'rio', 'preto', 'algum', 'ai', 'chama', 'dm']","Cara como eu queria mamar um policial no sigilo aqui em rio preto, se tiver algum ai chama DM"
"['to', 'ficando', 'puta', 'respirando', 'perto', 'mim', 'chata', 'prw', 'caralho']",to ficando puta só com ela respirando perto de mim chata prw caralho
"['agora', 'entendo', 'assim', 'vai', 'tomar', 'cu']","agora eu entendo, mas mesmo assim, vai tomar no seu cu"
"['cansado', 'cidade', 'juro', 'sai', 'noite', 'trabalho', 'ainda', 'dormi', 'nada', 'causa', 'obras', 'merda', 'predio', 'lado']","Cansado da Cidade juro .......
Sai da noite de trabalho e ainda não dormi nada por causa das obras de merda do prédio ao lado"
"['windows', 'vai', 'tomar', 'cy']",Windows 11 vai tomar no cy!!!!!!!!!
"['tomar', 'gin', 'meio', 'semana', 'realmente', 'da', 'to', 'morta']","Tomar gin no meio da semana realmente não dá, tô morta!"
"['ola', 'novo', 'aqui', 'entp', 'he', 'she', 'preto', 'racistas', 'lgbtfobicos', 'etc', 'bem', 'vindos', 'qualquer', 'conta', 'subtwt', 'fique', 'vontade', 'pra', 'seguir', 'interagir']","olá, sou novo aqui! #obslove #obslovetwt
- entp 8w7
- @mcrflvmes minha.
- he(+)/she
- preto 
- racistas, lgbtfobicos, etc não são bem vindos.

qualquer conta do subtwt fique a vontade pra me seguir e interagir! https://t.co/OZrDfGXLfC"
"['agora', 'q', 'comprou', 'twitter', 'vai', 'falar', 'merda', 'dia', 'inteiro', 'kkkkk', 'gostei']",agora q comprou o twitter vai falar merda o dia inteiro kkkkk gostei https://t.co/svfZOeTwHH
"['bando', 'puto', 'fdp']",bando de puto fdp
"['to', 'pensando', 'fogo', 'q', 'vou', 'tomar', 'amanha']",tô só pensando no fogo q eu vou tomar amanhã
"['meti', 'louco', 'arranquei', 'unhas']",Meti o louco e arranquei minhas unhas 🥹🤡
"['nao', 'babaca', 'vc', 'q', 'parece', 'bebezao']",nao sou babaca vc q parece um bebezao 😆
"['ta', 'foda', 'consigo']",Tá foda mas eu consigo
Tweet Tratado,Tweet Original
"['brinca', 'p', 'caralho', 'kkkkkkk']",brinca p caralho kkkkkkk
"['quero', 'fazer', 'dnv', 'q', 'merda']",quero fazer aquilo dnv q merda
"['literalmente', 'brigar', 'ngm', 'foda']",literalmente estou +8horas sem brigar com ngm se foda https://t.co/sIIRgIQKRX
"['prof', 'atividades', 'tao', 'tudo', 'feitas', 'que', 'oxe', 'pgs', 'exercicio', 'filho', 'ta', 'pouco', 'cade', 'mostre', 'ai', 'kkkk', 'aluno', 'viagem', 'outro', 'largou', 'seu', 'cu', 'pro', 'colega', 'frente', 'ai', 'pivete', 'respeita', 'prof']","""prof, minhas atividades tão tudo feitas""

""é o quê?!""

""oxe, eu tenho 6 pgs de exercício meu filho""

""tá pouco! eu tenho mais de 10""

""cadê, mostre aí""

KKKK aluno é uma viagem

o outro largou um ""SEU CU"" pro colega na minha frente, aí o pivete ""você não respeita o prof não é"""
"['o', 'toureiro', 'chato', 'cala', 'merda']","O toureiro é chato, não se cala com esta merda https://t.co/sxzq3qFSie"
"['morar', 'araruna', 'foda', 'cidade', 'meio', 'nada']","Morar em Araruna e foda, cidade no meio do nada"
"['debatendo', 'sala', 'sobre', 'oq', 'gay', 'padrao', 'elus', 'acham', 'gay', 'afeminado', 'acho', 'gay', 'adequa', 'normas', 'impostas', 'sociedade', 'usado', 'referencia', 'gay', 'bom']","Debatendo na sala sobre oq é um gay padrão, elus acham que é um gay afeminado, já eu acho que é um gay que se ""adequa"" mais nas normas impostas pela sociedade, aquele que é usado de referência como um ""gay bom"""
"['que', 'climinha', 'ta', 'rua', 'ne', 'foda', 'ter', 'sair', 'dps', 'hoje', 'jaquetinha']","Que climinha que tá na rua né, foda ter que sair dps. Hoje é jaquetinha 🤪"
"['o', 'vagabundo', 'lula', 'condenado', 'sergio', 'moro', 'lula', 'condenado', 'juizes', 'instancias', 'nunca', 'inocentado', 'teve', 'todo', 'processo', 'anulado', 'stf', 'apenas', 'final', 'viram', 'haver', 'saida', 'senao', 'burlar', 'processo', 'juridico']","O vagabundo do Lula não foi condenado por Sérgio Moro. Lula foi condenado por 9 juízes em 3 instâncias. Nunca foi inocentado. Teve todo o processo anulado pelo STF apenas no final quando viram não haver mais saída senão burlar o processo jurídico. 
#LulaInocente https://t.co/9PQIzCk6R0"
"['prova', 'bosta', 'to', 'triste']","a prova foi uma bosta, tô triste"
"['c', 'bom', 'ngm', 'falar', 'merda', 'adora']","o c* que é bom ngm da, mas falar merda adora"
"['eu', 'conheco', 'pa', 'otario', 'metido', 'malandro', 'anda', 'gingando', 'crente', 'ta', 'abafando', 'aprendeu', 'falar']","Eu conheço uma pá de otário metido a malandro que anda gingando 
Crente que tá abafando, é só aprendeu a falar"
"['vagabundo', 'n', 'responde', 'odio']",esse vagabundo n responde ódio
"['kkskskskskkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk', 'se', 'fode', 'seu', 'merda', 'velho', 'babaca', 'do', 'crlh', 'foda', 'otario']","KKSKSKSKSKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK SE FODE SEU MERDA VELHO BABACA DO CRLH

que se foda você otário https://t.co/CzicP9g4kc"
"['duplo', 'malte', 'virou', 'veneno', 'consigo', 'tomar', 'merda', 'fermenta', 'estomago']","a duplo malte virou um veneno não consigo mais tomar essa merda, fermenta meu estômago https://t.co/SPYTPt3Nxf"
"['sera', 'povo', 'sabe', 'calar', 'merda', 'boca', 'passaram', 'cinco', 'aulas', 'falando']",Será que esse povo não sabe calar a merda da boca???? Passaram as CINCO aulas falando 😠
"['preconceito', 'amor', 'homem', 'cis', 'engravida', 'verdade', 'pra', 'existir', 'preconceito', 'contra', 'pq', 'ridiculo', 'vcs', 'passam', 'bando', 'fetichista', 'bosta', 'omegaverse', 'bando', 'fujoshi', 'pau', 'cu']","PRECONCEITO com o que amor? homem cis engravida de verdade pra existir preconceito contra isso? não, pq isso é ridículo. vcs não passam de um bando de fetichista com essa bosta de omegaverse, bando de fujoshi pau no cu"
