Classificacao;Tweet Tratado;Tweet Original
no;['baguncado', 'jeito', 'daqui', 'ha', 'pouco', 'vai', 'ter', 'juiz', 'primeira', 'instancia', 'mandando', 'grampear', 'ministro', 'stf', 'ja', 'nao', 'acontecendo', 'vai', 'dizer', 'prova', 'colhida', 'boa', 'fe', 'lei', 'magistratura', 'resquicio', 'monarquia', 'tambem', 'precisa', 'ser', 'revogada'];'baguncado do jeito que esta daqui ha pouco vai ter juiz de primeira instancia mandando grampear ministro do stf se e que ja nao esta acontecendo e depois vai dizer que a prova foi colhida de boa fe a lei da magistratura resquicio da monarquia tambem precisa ser revogada'
no;['politicos', 'jamais', 'aprovam', 'leis', 'prejudicam', 'direta', 'indiretamente', 'pec', 'desdobro', 'crise', 'brasil', 'devido', 'dezenas', 'centenas', 'bilhoes', 'reais', 'desviados', 'todos', 'anos', 'brasil', 'dinheiro', 'amigo', 'faz', 'diferenca'];'Politicos jamais aprovam leis que prejudicam eles direta ou indiretamente esta PEC e um desdobro pela crise que o Brasil esta devido as dezenas e centenas de bilhoes de reais desviados todos os anos pelo Brasil muito dinheiro meu amigo que faz  a diferenca'
no;['limitar', 'anos', 'salario', 'politico', 'mesma', 'coisa', 'nada', 'isso', 'faz', 'cocegas', 'pois', 'ganhassem', 'triplo', 'ganham', 'nao', 'cento', 'patrimonio', 'luxo', 'ostentam'];'Limitar por   ou  anos o salario de politico e a mesma coisa que nada Isso nem faz cocegas para eles pois mesmo que ganhassem o triplo do que ganham nao teriam  por cento do patrimonio e luxo que ostentam'
no;['problema', 'sao', 'salarios', 'o', 'problema', 'sao', 'verbas', 'eventuais', 'desembargador', 'recebendo', 'mil', 'justica', 'cega', 'cara', 'pedindo', 'vista', 'nao', 'ta', 'enxergando', 'nadaou', 'faz', 'cego', 'ne', 'stf'];'o problema nem sao os salarios  O PROBLEMA sao as verbas eventuais  desembargador recebendo  MIL  e a justica e cega tem cara pedindo vista nao ta enxergando nadaou se faz de cego ne STF '
no;['judiciario', 'acreditam', 'neste', 'indice'];' para o Judiciario Acreditam mesmo neste indice '
no;['quem', 'gera', 'riqueza', 'nacao', 'trabalhador', 'politicos', 'funcionarios', 'publicos', 'nao', 'geram', 'riqueza', 'utilizam', 'e', 'caso', 'brasil', 'roubam', 'e', 'podem', 'inventar', 'medidas', 'nao', 'parar', 'corrupcao', 'pais', 'nao', 'mudara', 'nada', 'so', 'vai', 'piorar'];'Quem gera a riqueza de uma nacao e o trabalhador Politicos e funcionarios publicos nao geram riqueza eles se utilizam dela E no caso do Brasil roubam mesmo E podem inventar medidas que se nao parar a corrupcao o pais nao mudara nada So vai piorar'
no;['pois', 'novinha', 'receber', 'alguem', 'sabe', 'salario', 'aivamos', 'mandar', 'cortar'];'pois aquela novinha para receber alguem  sabe qual e o salario dela aivamos mandar cortar ela'
no;['renato', 'voce', 'toda', 'razao', 'acabar', 'desgoverno', 'passado', 'tipo', 'populista', 'inves', 'ensinar', 'pescar', 'quer', 'dar', 'peixe', 'perpetuar', 'poder', 'qualquer', 'custo'];'Renato voce tem toda a razao temos de acabar e com aquele desgoverno passado tipo populista que ao inves de ensinar a pescar quer dar o peixe e com isso se perpetuar no poder a qualquer custo'
no;['nossa', 'coisa', 'relevante', 'mulher', 'voluntaria'];'Nossa que coisa relevante a mulher dele e voluntaria'
no;['diminua', 'salario', 'tbm', 'presidente', 'coloque', 'teto', 'salario', 'todos', 'politicos', 'estabeleca', 'aumento', 'salarios', 'acompanhem', 'aumento', 'salario', 'minimo'];'Diminua seu salario tbm presidente Coloque um teto no salario de todos os politicos Estabeleca que o aumento dos seus salarios acompanhem o aumento do salario minimo '
no;['nao', 'esqueca', 'justica', 'tb', 'juizes', 'desembargadores', 'etc', 'etc'];'nao esqueca da justica tb juizes desembargadores etc etc'
yes;['voces', 'sao', 'idiotas', 'fazem', 'voces', 'sabem', 'executivo', 'quer', 'interfira', 'outros', 'poderes', 'esses', 'salarios', 'sao', 'vinculados', 'texto', 'constitucional', 'informem', 'nao', 'santo', 'pra', 'nao', 'passarem', 'vergonha', 'falar', 'coisa', 'nao', 'sabem'];'Voces sao idiotas ou se fazem Voces sabem que ele e do executivo e quer que interfira nos outros poderes Esses salarios sao vinculados a texto constitucional se informem mais nao que ele seja santo mas pra nao passarem vergonha de falar coisa que nao sabem'
no;['falei', 'alguma', 'mentira'];'Falei alguma mentira'
no;['voce', 'falou', 'tudo'];'voce falou tudo'
no;['resumiu', 'bem', 'opera'];'Resumiu bem a opera'
no;['nunca', 'vi', 'tanta', 'hipocrisia', 'pessoa', 'so', 'tentando', 'cortar', 'gastos', 'necessidades', 'basicas', 'populacao', 'concedendo', 'aumentos', 'absurdos', 'classes', 'apoiaram', 'golpe', 'sabemos', 'bem', 'carne', 'cortando'];'Nunca vi tanta hipocrisia numa pessoa so Tentando cortar gastos com necessidades basicas da populacao e concedendo aumentos absurdos as classes que apoiaram o golpe Sabemos bem que carne ele esta cortando'
no;['os', 'ricos', 'continuam', 'ricos', 'pobres', 'continuam', 'pobres', 'retiraram', 'dignidade', 'delesisso', 'sim'];'Os Ricos continuam ricos e os pobres continuam pobres retiraram foi a dignidade delesisso sim'
yes;['alexandre', 'acioni', 'vai', 'estudar', 'pra', 'saber', 'comunista', 'essas', 'medidas', 'temer', 'sao', 'pior', 'comunismo', 'voce', 'pobre', 'metido', 'besta', 'fica', 'repetindo', 'mazelas', 'igual', 'papagaio', 'repeticao'];'Alexandre Acioni vai estudar pra saber o que e comunista Essas medidas do Temer sao pior que comunismo voce e mais um pobre metido a besta que fica repetindo mazelas igual a um papagaio de repeticao'
no;['porque', 'nao', 'corta', 'gastos', 'politicos'];'Porque nao corta os gastos dos politicos'
no;['saude', 'educacao', 'emprego', 'seguranca', 'nao', 'existe', 'neste', 'pais', 'lamentavel'];'Saude educacao emprego e seguranca nao existe mais neste pais lamentavel'
no;['sem', 'pec', 'dinheiro', 'tera', 'sair', 'algum', 'lugar', 'novos', 'imposto', 'aumento', 'ja', 'existentes', 'o', 'problema', 'educacao', 'saude', 'seguranca', 'corrupcao', 'resolver', 'vai', 'sobrar', 'dinheiro', 'areas'];'Sem a Pec o dinheiro tera que sair de algum lugar  ou seja novos imposto e aumento dos ja existentes O problema da educacao  saude e seguranca e a corrupcao se isso resolver vai sobrar dinheiro para essas areas '
no;['fim', 'isencao', 'impostos', 'todas', 'igrejaschega', 'desta', 'bagunca'];'fim da isencao de impostos para todas as igrejaschega desta bagunca'
no;['vai', 'taxar', 'dinheiro', 'doacoes', 'coitados', 'mendigos'];'Vai taxar dinheiro de doacoes Coitados dos mendigos'
no;['unico', 'corte', 'verdadeiramente', 'carne', 'acabando', 'excesso', 'beneficios', 'diminuindo', 'salario', 'politicos', 'ahh', 'claro', 'diminuir', 'quantidade', 'tambem', 'bem', 'vindo'];'Unico corte verdadeiramente na carne e acabando com o excesso de beneficios e diminuindo o salario dos politicos Ahh claro diminuir a quantidade deles tambem e bem vindo'
no;['deveriam', 'nao', 'vai', 'saber', 'responder', 'pergunta', 'la', 'pf'];'Deveriam mas isso nao sou quem vai saber te responder pergunta la na PF'
no;['enquanto', 'presidente', 'nao', 'coragem', 'propor', 'acabar', 'todas', 'regalias', 'beneficios', 'deputados', 'senadores', 'mim', 'continuara', 'ser', 'presidente', 'qualquer', 'caso', 'candidato', 'reeleicao', 'nao', 'voto'];'enquanto um presidente nao tiver coragem de propor acabar com TODAS as regalias e beneficios dos deputados e senadores  para mim ele continuara a ser um presidente qualquer Caso fosse  candidato reeleicao nao teria o meu voto'
no;['paulo', 'bertazzi', 'voce', 'quer', 'ditadura', 'novo'];'Paulo Bertazzi  o que voce quer e uma ditadura de novo'
no;['sr', 'presidente', 'brasil', 'lado', 'venham', 'reformas', 'chega', 'mimimi', 'vamos', 'trabalhar'];'Sr presidente o Brasil esta ao seu lado que venham as reformas chega de mimimi e vamos trabalhar'
yes;['mais', 'pobre', 'metido', 'besta', 'ja', 'ja', 'fica', 'dinheiro', 'vai', 'sentir', 'falta', 'bons', 'tempos'];'Mais um pobre metido a besta ja ja fica sem dinheiro e vai sentir falta dos bons tempos'
no;['bons', 'tempos', 'o', 'brasil', 'teve', 'bons', 'tempos', 'entao', 'lembra', 'ai', 'nao', 'lembro', 'nao', 'hahaha'];'Bons tempos O Brasil TEVE bons tempos Entao me lembra ai por que eu nao lembro nao HAHAHA'
no;['sabe', 'engracado', 'sim', 'o', 'povo', 'vai', 'pagar', 'o', 'pato', 'recheado', 'e', 'bem', 'gordo'];'Sabe o que e engracado e que SIM O POVO VAI PAGAR O PATO RECHEADO E BEM GORDO'
no;['pra', 'iria', 'fazer', 'kkk', 'pra', 'politico', 'iria', 'ser', 'contra', 'politicos', 'receberem'];'pra que ele iria fazer isso kkk pra que um politico iria ser contra politicos receberem muito'
yes;['martin', 'sales', 'deixa', 'ser', 'idiot', 'agora', 'ninguem', 'pode', 'discordar', 'temer', 'mortadela', 'so', 'nesse', 'pais', 'pobre', 'metido', 'besta', 'defende', 'direita'];'Martin Sales deixa de ser idiot  agora ninguem pode discordar do temer que e mortadela so nesse pais mesmo que pobre metido a besta defende a direita'
no;['viva', 'lava', 'jato', 'venha', 'delacoes', 'politicos', 'corruptos', 'cana'];'Viva a lava jato que venha as delacoes politicos corruptos cana '
no;['bernardo', 'cabas', 'os', 'deputados', 'federais', 'ja', 'estao', 'movimentando', 'anistiarem', 'caixa', 'dois', 'existe', 'ate', 'dias', 'hoje', 'so', 'querem', 'condenacoes', 'daqui', 'diante', 'estao', 'quebrando', 'espinha', 'dorsal', 'lava', 'jato', 'delacao', 'premiada'];'Bernardo Cabas   Os deputados federais ja estao se movimentando para anistiarem o caixa dois que existe ate os dias de hoje So querem condenacoes daqui por diante Estao quebrando a espinha dorsal da lava a jato que e a delacao premiada'
no;['repatriacao', 'dinheiro', 'parentes', 'laranjas'];'Repatriacao do dinheiro dos  parentes laranjas'
no;['cortar', 'propria', 'carne', 'estou', 'vendo', 'so', 'ze', 'povinho', 'ferrar', 'cortar', 'carne', 'diminuir', 'inchaco', 'maquina', 'publica', 'diminuir', 'ganho', 'politicos'];'Cortar a propria carne   Estou vendo so  o ze povinho se ferrar Cortar na carne e diminuir o inchaco da maquina publica  e diminuir o ganho dos politicos '
no;['que', 'carne', 'ele', 'nao', 'recebe', 'salario', 'minimo', 'ja', 'aposentado', 'nao', 'precisa', 'sus', 'menos', 'educacao', 'publica', 'unica', 'carne', 'cortando', 'pobre', 'politicos', 'ricos', 'serao', 'atingindos'];'Que carne  Ele nao recebe salario minimo ja e aposentado nao precisa do SUS e muito menos de educacao publica a unica carne que ele esta cortando e da pobre quando politicos e ricos serao atingindos '
no;['sem', 'reforma', 'tributaria', 'mercado', 'divida', 'nunca', 'cortarao', 'carne', 'juros', 'divida', 'publica', 'levam', 'cerca', 'quarenta', 'tres', 'cento', 'orcamento', 'os', 'gastos', 'primarios', 'nao', 'chegam', 'cento', 'a', 'pec', 'nao', 'vai', 'resolver', 'nada'];'Sem reforma tributaria e a do mercado da divida NUNCA cortarao da carne Juros da Divida publica levam cerca de quarenta e tres por cento do orcamento Os gastos primarios nao chegam a  por cento A PEC nao vai resolver nada'
no;['perfeito', 'marcio', 'lembrando', 'muitos', 'politicos', 'sao', 'donossocios', 'empresas', 'plano', 'saude', 'escolasfaculdadesuniversidades', 'particulares', 'preciso', 'desenhar'];'Perfeito Marcio Lembrando que muitos politicos sao donossocios de empresas de plano de saude escolasfaculdadesuniversidades particulares preciso desenhar'
no;['o', 'brasil', 'crise', 'precisamos', 'adotar', 'cortes', 'gastos', 'populacao', 'aumentos', 'salarios', 'juizes', 'edeputados', 'e', 'tao', 'simples', 'entender'];'O Brasil esta em crise Precisamos adotar cortes de gastos na populacao e aumentos de salarios para juizes edeputados E tao simples de entender isso '
no;['verdade', 'vamos', 'ser', 'compreensivos'];'verdade vamos ser compreensivos '
no;['rodrigo', 'realmente', 'facil', 'compreender', 'eu', 'compreendi', 'golpe', 'mestre', 'ah', 'ah', 'ah'];'Rodrigo realmente e muito facil de compreender isso Eu compreendi que foi um golpe de mestre Ah ah ah'
no;['o', 'pais', 'rico', 'tanta', 'roubalheira', 'atraves', 'seculos', 'acaba', 'quebrando', 'vez', 'e', 'medidas', 'arrochar', 'ainda', 'trabalhador', 'e', 'nao', 'enganem', 'nao', 'so', 'partido', 'rouba'];'O pais e rico mas com tanta roubalheira atraves dos seculos acaba quebrando de vez E essas medidas e para arrochar mais ainda o trabalhador E nao se enganem nao e so um partido que rouba'
no;['cortar', 'propria', 'carne', 'reduzir', 'deputados', 'federais', 'senadores', 'gabinetes', 'aa', 'consequente', 'reducao', 'mordomias'];'Cortar na propria carne e reduzir o no de Deputados Federais e Senadores e seus gabinetes com aa consequente reducao de mordomias'
no;['temer', 'fala', 'cortar', 'propria', 'carne', 'entao', 'porque', 'nao', 'comeca', 'cortando', 'aumentos', 'q', 'sancionou', 'ministros', 'deputados', 'assim', 'ja', 'pode', 'ver', 'melhor', 'desempenho', 'nao', 'prefere', 'tirar', 'gente', 'q', 'mesmos'];'este  Temer fala em cortar a propria carne entao porque nao comeca cortando os aumentos q ele sancionou dos ministros e deputados e assim ele ja pode ver um melhor desempenho mas nao prefere tirar da gente do q deles mesmos  '
yes;['cara', 'velho', 'asqueroso'];'nem sou mas esse cara e um velho asqueroso'
no;['a', 'populacao', 'tao', 'manipulada', 'so', 'entendem', 'dois', 'lados', 'nao', 'devemos', 'ter', 'lado', 'nenhum', 'devemos', 'lutar', 'contra', 'todos', 'locupletam', 'dinheiro', 'partido'];'A populacao esta tao  manipulada que so entendem dois lados  quando nao devemos ter lado nenhum Devemos lutar contra todos os que se locupletam com o nosso dinheiro  seja de que partido for'
no;['nao', 'verdade', 'o', 'governo', 'milhoes', 'funcionarios', 'publicos', 'sobrando', 'nao', 'corta', 'todo', 'mundo', 'sabe', 'disso', 'estao', 'cortando', 'carne', 'nao', 'carne', 'vermes', 'ja', 'chega', 'temer'];'Nao e verdade O governo tem milhoes de funcionarios publicos sobrando e nao corta Todo mundo sabe disso Estao cortando na nossa carne e nao na carne dos vermes Ja chega fora Temer '
no;['caro', 'presidente', 'temer', 'sr', 'falar', 'cortar', 'propria', 'carne', 'favor', 'comece', 'mordomias', 'srs', 'inclusive', 'aposentadoria', 'sr', 'previdencia', 'diferenciada', 'politicos', 'primeiro', 'item', 'ser', 'observado', 'nao', 'empacotador', 'mercado', 'esquina', 'nao', 'zombe', 'inteligencia', 'gentileza'];'Caro Presidente Temer quando o Sr falar em cortar na propria carne por favor comece pelas mordomias dos Srs inclusive a aposentadoria do Sr previdencia diferenciada para politicos e o primeiro item a ser observado e nao a do empacotador do mercado da esquina nao zombe da minha inteligencia por gentileza   '
no;['vamos', 'cortar', 'gastos', 'publicos', 'vamos', 'cortar', 'todos', 'funcionarios', 'confianca', 'indicados', 'politicos', 'vamos', 'cortar', 'todos', 'funcionarios', 'alto', 'escalao', 'indicados', 'governo', 'concurso', 'publicos', 'capacitacao', 'tecnica', 'adequada', 'vamos', 'cortar', 'quantidade', 'politicos'];'Vamos cortar os gastos publicos Vamos cortar todos os funcionarios de confianca indicados por politicos Vamos cortar todos os funcionarios de alto escalao indicados pelo governo sem concurso publicos e sem capacitacao tecnica adequada Vamos cortar a quantidade de politicos'
no;['o', 'fmi', 'ja', 'afirmou', 'paises', 'incluindo', 'potencias', 'economicas', 'medidas', 'adotadas', 'brasil', 'sao', 'duras', 'inflexiveis', 'alguem', 'ja', 'leu', 'defende', 'contra', 'isso', 'e', 'um', 'assunto', 'muito', 'serio', 'e', 'que', 'vai', 'mexer', 'com', 'a', 'vida', 'de', 'todos'];'O FMI ja afirmou que entre  paises  incluindo potencias economicas  as medidas adotadas no Brasil sao as DURAS e INFLEXIVEIS Alguem ja leu quem defende e quem e contra ISSO E UM ASSUNTO MUITO SERIO E QUE VAI MEXER COM A VIDA DE TODOS'
yes;['a', 'fmi', 'nao', 'manda', 'economia', 'mundiais', 'que', 'vao', 'mer', 'rda'];'A FMI nao manda nas economia mundiais Que vao a mer rda'
no;['especialistas', 'afirmam', 'pec', 'nao', 'boa', 'principal', 'razao', 'porque', 'nao', 'ataca', 'problema', 'real', 'rombo', 'orcamento', 'pagamento', 'de', 'juros', 'de', 'uma', 'divida', 'que', 'nao', 'e', 'auditada', 'foge', 'logica', 'pagar', 'juros', 'divida', 'arrecadacao', 'maior', 'so', 'cresce'];'Especialistas afirmam que a PEC nao e boa e a principal razao e porque ela nao ataca o problema real do rombo no nosso orcamento PAGAMENTO DE JUROS DE UMA DIVIDA QUE NAO E AUDITADA Foge da logica pagar juros de uma divida que mesmo com arrecadacao maior so cresce'
no;['todo', 'especialista', 'tem', 'que', 'mentir', 'pra', 'se', 'dar', 'bem'];'TODO ESPECIALISTA TEM QUE MENTIR PRA SE DAR BEM'
no;['sao', 'quase', 'so', 'para', 'pagar', 'juros', 'da', 'divida', 'uma', 'vez', 'reforma', 'tributaria', 'principalmente', 'a', 'reforma', 'do', 'sistema', 'da', 'divida', 'publica', 'ninguem', 'mexe', 'fazer', 'ja', 'contraria', 'poderosos', 'emprestam', 'dinheiro', 'brasil', 'alguns', 'ligados', 'fmi', 'inclusive', 'facil', 'culpa', 'trabalhador', 'programas', 'sociais', 'nao', 'representam', 'fatia', 'orcamento'];'SAO QUASE  SO PARA PAGAR JUROS DA  DIVIDA Uma vez que a reforma tributaria e PRINCIPALMENTE A REFORMA DO SISTEMA DA DIVIDA PUBLICA ninguem  se mexe para fazer  ja que contraria os poderosos que emprestam dinheiro ao Brasil alguns ligados ao FMI inclusive  mais facil por a culpa no trabalhador e nos programas sociais que nao representam  da fatia do orcamento'
no;['por', 'nao', 'implantar', 'imposto', 'sobre', 'grandes', 'fortunas', 'por', 'nunca', 'audita', 'divida', 'forma', 'ilogica', 'so', 'aumenta', 'apesar', 'aumento', 'arrecadacao'];'Por que nao implantar o imposto sobre grandes fortunas Por que NUNCA se audita a divida que de forma ilogica so aumenta apesar do aumento da arrecadacao'
no;['nao', 'existe', 'especialista', 'economia', 'apenas', 'funciona', 'aumentar', 'gastos', 'publicos', 'exigir', 'sociedade', 'impostos', 'cobrir', 'gastos', 'governo', 'incompetente', 'sao', 'duras', 'inflexiveis', 'nao', 'podem', 'simplesmente', 'querer', 'aumentar', 'impostos', 'porque', 'nao', 'dinheiro', 'pra', 'gastar', 'a', 'sociedade', 'tambem', 'precisa', 'dinheiro', 'pra', 'estimular', 'economia', 'a', 'sociedade', 'nao', 'consegue', 'pagar', 'impostos', 'entao', 'nao', 'podem', 'aumentar', 'gastos'];'Nao existe especialista em economia apenas aquilo que funciona Aumentar gastos publicos e exigir da sociedade mais impostos para cobrir os gastos de governo incompetente sao DURAS e INFLEXIVEIS Nao podem simplesmente querer aumentar impostos porque nao tem dinheiro pra eles gastar A sociedade tambem precisa de dinheiro pra estimular a economia A sociedade nao consegue pagar mais impostos entao nao podem aumentar os gastos'
no;['marcio', 'oliveira', 'governo', 'devia', 'acabar', 'privilegios', 'stf', 'congresso', 'camara', 'deputados', 'cnj', 'judiciario', 'geral', 'principalmente', 'autos', 'escalao', 'governo', 'boa', 'medida', 'tira', 'costas', 'trabalhador', 'imoralidade'];'Marcio Oliveira o governo devia acabar com privilegios do STF   Congresso camara dos deputados do CNJ ou seja do judiciario em geral e principalmente dos autos escalao do governo isso seria uma boa medida tira das costas do trabalhador e uma imoralidade '
no;['paulo', 'henrique', 'nao', 'esquerda', 'nao', 'trata', 'ideologia', 'partidaria', 'as', 'pessoas', 'precisam', 'procurar', 'fontes', 'seguras', 'antagonicas', 'sobre', 'assunto', 'antes', 'usar', 'logica', 'olhar', 'problema', 'forma', 'macro'];'Paulo Henrique eu nao sou de esquerda Nao se trata de ideologia partidaria As pessoas precisam procurar fontes seguras e antagonicas sobre o assunto antes de usar uma logica de      sem olhar para o problema de forma macro'
no;['alem', 'traira', 'hilariona', 'propria', 'carne', 'kkkkkkkkkkkk'];'Alem de traira hilariona propria carne  KKKKKkkkkkkk'
no;['a', 'unica', 'carne', 'q', 'cortando', 'oferecida', 'jantaresfile', 'mignon'];'A unica carne q esta cortando e a oferecida nos JANTARESFILE MIGNON'
no;['fora', 'temer', 'abaixo', 'a', 'redeglobodecorrupcao'];'FORA TEMER  ABAIXO A REDEGLOBODECORRUPCAO '
no;['tem', 'que', 'congelar', 'e', 'o', 'salario', 'dos', 'politicos', 'pois', 'sao', 'nefastos', 'para', 'a', 'nacao'];'TEM QUE CONGELAR E O SALARIO DOS POLITICOS POIS  SAO NEFASTOS  PARA A NACAO'
no;['eu', 'quero', 'ver', 'batedores', 'panela', 'piscadores', 'luz', 'varanda', 'quero', 'ver', 'bem', 'cara'];'Eu quero ver os batedores de panela e piscadores de luz de varanda Quero ver bem a cara deles'
no;['irao', 'sentir', 'propria', 'carne', 'inferno', 'pagando', 'estao', 'fazendo'];'Irao sentir na propria carne quando estiverem no inferno pagando pelo que estao fazendo'
no;['nunca', 'presidente', 'gastasse', 'tanto', 'melhor', 'comecar', 'proprias', 'contas'];'Nunca houve um presidente que gastasse tanto melhor comecar pelas proprias contas'
no;['deviam', 'perguntar', 'sobre', 'cartoes', 'corporativos', 'meses', 'gastaram', 'milhoes', 'muitos', 'outro', 'governo', 'meses', 'deveriam', 'zeras', 'cartoes'];'Deviam perguntar a ele sobre os cartoes corporativos  que em  meses gastaram  milhoes muitos mais do que o outro governo em  meses  deveriam zeras estes cartoes '
no;['a', 'pec', 'corta', 'carne', 'povo', 'porque', 'politicos', 'estao', 'intactas', 'salarios', 'aumentam', 'regalias', 'continuam', 'desvios', 'dinheiro', 'tambem', 'continuam', 'enquanto', 'lava', 'jato', 'nao', 'detectar', 'ai', 'vai', 'bem', 'vindo', 'brasil', 'politicos', 'farinha', 'saco', 'onde', 'todas', 'eleicoes', 'povo', 'procuram', 'vender', 'voto', 'politicos', 'nao', 'fazer', 'voto', 'ficar', 'optativo', 'pois', 'prejudicaria', 'tange', 'elegerem', 'comprando', 'votos', 'manipulando', 'povo', 'sempre', 'burro', 'educacao', 'saude', 'tudo', 'direito'];'A PEC corta a carne do povo porque a dos politicos estao intactas os salarios deles aumentam regalias continuam desvios de dinheiro tambem continuam enquanto a lava jato nao detectar eles e por ai vai bem vindo ao Brasil e politicos farinha do mesmo saco onde todas as eleicoes o povo procuram eles para vender o voto e os politicos nao fazer o voto ficar optativo pois prejudicaria eles no que tange a se elegerem comprando votos e manipulando o povo sempre burro sem educacao saude e tudo que temos direito'
yes;['paulo', 'voce', 'e', 'burro'];'PAULO VOCE E BURRO'
yes;['vao', 'bate', 'panelasseus', 'burrosbem', 'feito'];'VAO BATE PANELASSEUS BURROSBEM FEITO'
no;['saude', 'educacao', 'nao', 'gasto', 'investimento', 'acabar', 'farra', 'publica', 'dinheiro', 'acabar', 'foro', 'privilegiado', 'fim', 'regalias', 'punicao', 'grave', 'crime', 'corrupcaopior', 'cego', 'nao', 'quer', 'enxergar', 'nao', 'sera', 'bom', 'saude', 'brasil'];'Saude e Educacao nao e gasto e investimento o que tem que acabar e a farra publica com esse dinheiro acabar com foro privilegiado fim de regalias e punicao grave a crime de corrupcaoPior cego e o que nao quer enxergar isso nao e e nem sera bom para a saude do Brasil '
no;['se', 'petralhas', 'estariam', 'criando', 'bolsas', 'ate', 'virarmos', 'venezuela'];'Se fosse os petralhas estariam criando mais bolsas ate virarmos uma Venezuela '
no;['cortar', 'propria', 'carne', 'acabar', 'financiamento', 'partidos', 'politicos'];'Cortar na propria carne e acabar com o financiamento de partidos politicos'
no;['cortarsea', 'propria', 'carne', 'propria', 'carne', 'dos', 'outros', 'nao'];'cortarsea  a propria carne   a propria carne DOS OUTROS nao a deles '
no;['enquanto', 'seus', 'ministros', 'fazem', 'farra', 'dinheiro', 'publico'];'Enquanto isso Seus Ministros fazem farra com dinheiro publico'
no;['vao', 'pegar', 'dinheiro', 'volta', 'sanguessugas'];'e quando vao pegar nosso dinheiro de volta com os sanguessugas'
no;['tem', 'cortar', 'carne', 'regalias', 'politicos', 'brasilia', 'vamos', 'fazer', 'sacrificio', 'temer'];'Tem que cortar a carne das regalias dos politicos em Brasilia vamos fazer este sacrificio Temer'
